Trait,Chromosome,Marker,Position(cM),LOD(H0:H1),R2(H0:H1),TR2(H0:H1),Additive(H1),S1
1,1,58,30.11,3.696234,0.080414,0.511495,-1.271988,2.34347
1,1,61,30.44,3.841943,0.083175,0.514255,-1.291578,2.970444
1,1,61,31.44,3.826543,0.086207,0.517288,-1.307886,2.681329
1,1,61,32.44,3.637875,0.082357,0.513438,-1.276341,2.835478
1,1,64,32.96,2.756591,0.060968,0.492049,-1.094586,3.533408
1,1,64,33.96,2.714284,0.060819,0.4919,-1.092532,3.556036
1,1,64,34.96,2.656773,0.059904,0.490985,-1.084159,3.640656
1,1,64,35.96,2.577721,0.057801,0.488882,-1.065657,3.743611
1,1,67,36.43,2.531124,0.056233,0.487314,-1.051881,3.760801
1,1,67,37.43,2.457001,0.05487,0.485951,-1.038342,3.945222
1,1,73,38.32,2.947177,0.064929,0.49601,-1.132084,3.644623
1,1,73,39.32,2.9218,0.064713,0.495793,-1.130614,3.625926
1,1,73,40.32,2.896004,0.064272,0.495352,-1.127369,3.613467
1,1,73,41.32,2.869933,0.06361,0.494691,-1.122402,3.613727
1,1,79,42.23,0.07227,0.001407,0.52827,-0.213267,2.703949
1,1,79,43.23,0.148663,0.003025,0.529888,-0.297896,2.947815
1,1,86,43.59,0.240948,0.004665,0.531528,-0.350166,3.155688
1,1,86,44.59,0.316069,0.006119,0.532982,-0.397116,3.119769
1,1,88,44.68,0.446824,0.008612,0.535475,-0.461143,3.034333
1,1,92,45.54,0.486798,0.009422,0.536285,-0.469,3.008879
1,1,96,45.61,0.3198,0.00618,0.533043,-0.371266,3.022526
1,1,96,46.61,0.319798,0.006182,0.533045,-0.371334,3.022529
1,1,97,46.87,0.31986,0.006185,0.533048,-0.371418,3.022458
1,1,97,47.87,0.317064,0.006378,0.533241,-0.37594,3.019073
1,1,97,48.87,0.297715,0.00586,0.532723,-0.359403,3.026348
1,1,104,49.18,0.181074,0.003509,0.530372,-0.276887,3.004619
1,1,104,50.18,0.172328,0.003353,0.530215,-0.271395,3.002075
1,1,104,51.18,0.163605,0.003174,0.530037,-0.265103,3.004573
1,1,109,51.31,0.162471,0.003151,0.530013,-0.264251,3.0051
1,1,109,52.31,0.152278,0.003012,0.529875,-0.257374,2.99716
1,1,109,53.31,0.140058,0.002768,0.529631,-0.245988,2.988009
1,1,110,54.19,0.131162,0.002564,0.529427,-0.236086,2.985285
1,1,113,54.33,0.158792,0.00308,0.529943,-0.257507,3.036456
1,1,113,55.33,0.231255,0.004585,0.531448,-0.313283,2.980993
1,1,124,56,0.061398,0.001194,0.528057,-0.16268,2.715422
1,1,124,57,0.045453,8.92e-4,0.527755,-0.138998,2.701208
1,1,125,57.08,0.044252,8.61e-4,0.527724,-0.136456,2.700597
1,1,125,58.08,0.071708,0.001426,0.528289,-0.176497,2.742079
1,1,126,58.44,0.080742,0.001574,0.528437,-0.185804,2.757742
1,1,131,58.97,0.141887,0.002752,0.529614,-0.246855,2.748199
1,1,134,59.92,0.142361,0.002761,0.529624,-0.247275,2.748034
1,1,135,60.61,0.166017,0.003233,0.530096,-0.267182,2.744671
1,1,139,60.69,0.103425,0.002008,0.528871,-0.208874,2.760972
1,1,140,61.64,0.183691,0.00356,0.530423,-0.281033,2.711867
1,1,140,62.64,0.253875,0.005008,0.531871,-0.332622,2.654761
1,1,140,63.64,0.32844,0.006395,0.533258,-0.375606,2.593949
1,1,144,63.94,0.350291,0.006765,0.533628,-0.386342,2.577249
1,1,144,64.94,0.350286,0.006784,0.533647,-0.386812,2.577334
1,1,144,65.94,0.350287,0.006778,0.533641,-0.38668,2.57731
1,1,155,66.52,0.015031,2.92e-4,0.527155,0.079153,2.675526
1,1,155,67.52,0.007102,1.4e-4,0.527002,0.054503,2.690384
1,1,155,68.52,0.002078,4.1e-5,0.526903,0.02928,2.699364
1,1,167,68.82,0.003683,7.2e-5,0.526935,-0.038776,2.675533
1,1,168,68.88,0.002464,4.8e-5,0.526911,0.031606,2.715047
1,1,168,69.88,0.002464,4.8e-5,0.526911,0.031645,2.715047
1,1,168,70.88,0.002465,4.8e-5,0.526911,0.031635,2.715047
1,1,173,71.42,0.002465,4.8e-5,0.526911,0.031609,2.715047
1,1,173,72.42,0.002465,4.8e-5,0.526911,0.031615,2.715047
1,1,174,72.66,0.002402,4.7e-5,0.52691,0.031204,2.714896
1,1,174,73.66,2.06e-4,4e-6,0.526867,-0.009067,2.697618
1,1,180,73.94,0.026536,5.16e-4,0.527379,-0.103629,2.6351
1,1,192,74.18,0.050372,9.79e-4,0.527841,-0.142225,2.57949
1,1,192,75.18,0.050372,9.79e-4,0.527842,-0.142265,2.579491
1,1,201,75.55,0.059725,0.00116,0.528023,-0.153592,2.595924
1,1,211,76.48,0.092759,0.001801,0.528664,-0.194672,2.519023
1,1,213,77.4,0.135016,0.002628,0.529491,-0.232943,2.444047
1,1,222,78.02,0.296911,0.005745,0.532608,-0.346271,2.396247
1,1,224,78.95,0.103887,0.002016,0.528879,-0.204915,2.706042
1,1,224,79.95,0.103887,0.002018,0.528881,-0.204981,2.706045
1,1,237,80.38,0.073963,0.001436,0.528299,-0.174094,2.703997
1,1,237,81.38,0.073963,0.001437,0.5283,-0.174114,2.703998
1,1,240,81.55,0.074478,0.001447,0.52831,-0.174735,2.70362
1,1,240,82.55,0.131552,0.002564,0.529427,-0.232547,2.653556
1,1,244,82.7,0.133143,0.002583,0.529445,-0.231738,2.673896
1,1,248,82.98,0.133051,0.002584,0.529447,-0.23183,2.673254
1,1,253,83.94,0.109752,0.002133,0.528996,-0.211749,2.614009
1,1,255,84.43,0.209081,0.004051,0.530914,-0.291218,2.58079
1,1,256,84.86,0.272153,0.005264,0.532127,-0.333734,2.50507
1,1,256,85.86,0.272132,0.005269,0.532132,-0.333877,2.505119
1,1,257,86.44,0.274305,0.005312,0.532174,-0.335166,2.503892
1,1,267,87.36,0.640945,0.012305,0.539168,-0.505392,2.227588
1,1,270,87.71,0.392112,0.007566,0.534429,-0.39602,2.425298
1,1,272,88.63,0.39101,0.007549,0.534412,-0.395501,2.424669
1,1,278,89.47,0.389429,0.007521,0.534384,-0.393094,2.275968
1,1,279,89.92,0.499164,0.009611,0.536474,-0.443349,2.113665
1,1,279,90.92,0.499167,0.009617,0.53648,-0.44348,2.113687
1,1,280,91.3,0.500543,0.009645,0.536508,-0.444157,2.111925
1,1,280,92.3,0.627987,0.012431,0.539294,-0.507238,1.965237
1,1,281,93.08,0.70496,0.013537,0.5404,-0.531813,1.917031
1,1,284,94.04,0.681956,0.013082,0.539945,-0.523775,1.935283
1,1,284,95.04,0.670341,0.012897,0.53976,-0.520539,1.983531
1,1,284,96.04,0.659003,0.012666,0.539529,-0.516635,2.041449
1,1,286,96.43,0.656993,0.012623,0.539486,-0.516117,2.06514
1,1,286,97.43,0.850706,0.016738,0.543601,-0.591661,2.001212
1,1,291,98.15,1.359898,0.025738,0.552601,-0.724234,1.865366
1,1,291,99.15,1.276584,0.025011,0.551874,-0.714553,1.820093
1,1,291,100.15,1.140841,0.022299,0.549162,-0.675394,1.806196
1,1,300,100.53,0.841257,0.016085,0.542948,-0.574176,2.165172
1,1,300,101.53,0.841273,0.016113,0.542976,-0.574642,2.1654
1,1,302,102.54,0.851934,0.016327,0.543189,-0.578252,2.155998
1,1,304,102.79,1.080083,0.020635,0.547498,-0.648172,2.028441
1,1,307,103.54,0.791173,0.01515,0.542013,-0.552058,2.224111
1,1,309,103.94,0.636983,0.012231,0.539094,-0.494906,2.348462
1,1,309,104.94,0.59876,0.011584,0.538447,-0.481243,2.386566
1,1,309,105.94,0.558581,0.010792,0.537655,-0.464195,2.429975
1,1,310,106.42,0.539366,0.010377,0.53724,-0.455072,2.450812
1,1,314,107.35,0.684383,0.01313,0.539992,-0.511466,3.0102
1,1,314,108.35,0.777959,0.014932,0.541795,-0.546305,2.943529
1,1,318,108.55,1.175837,0.022331,0.549194,-0.67096,2.597365
1,1,318,109.55,1.14653,0.021894,0.548756,-0.66449,2.625649
1,1,318,110.55,1.115703,0.021318,0.54818,-0.655957,2.663806
1,1,319,111.14,1.096887,0.020916,0.547779,-0.649935,2.6913
1,1,325,112.06,0.520596,0.010019,0.536882,-0.451303,2.724309
1,1,328,112.99,0.521805,0.010045,0.536908,-0.451825,2.722118
1,1,328,113.99,0.643322,0.012426,0.539288,-0.498994,2.49967
1,1,329,114.37,0.688139,0.013199,0.540062,-0.513871,2.424082
1,1,329,115.37,0.698928,0.013453,0.540316,-0.51901,2.387703
1,1,329,116.37,0.709782,0.013659,0.540522,-0.523287,2.35579
1,1,332,117.37,0.805921,0.015436,0.542299,-0.563559,2.178774
1,1,332,118.37,0.474409,0.009472,0.536335,-0.442503,2.34966
1,1,336,118.62,0.308497,0.005963,0.532826,-0.345503,2.472896
1,1,336,119.62,0.29103,0.005641,0.532504,-0.337804,2.427821
1,1,337,120.19,0.284526,0.005513,0.532376,-0.335281,2.408847
1,1,337,121.19,0.652004,0.012905,0.539768,-0.513172,2.117124
1,1,348,121.51,0.230688,0.004468,0.531331,-0.302061,2.38557
1,1,348,122.51,0.17525,0.003486,0.530349,-0.2662,2.433567
1,1,348,123.51,0.123245,0.002445,0.529308,-0.222516,2.481573
1,1,349,124.15,0.092373,0.001796,0.528659,-0.190598,2.513098
1,1,351,124.63,0.029666,5.77e-4,0.527439,-0.108366,2.597347
1,1,351,125.63,0.022042,4.29e-4,0.527292,-0.093455,2.629847
1,1,360,126.19,0.332642,0.006429,0.533292,0.363265,2.571097
1,1,360,127.19,0.331116,0.006545,0.533408,0.366565,2.570209
1,1,360,128.19,0.320921,0.006296,0.533158,0.359758,2.579124
1,1,361,128.67,0.31323,0.006054,0.532917,0.352989,2.586988
1,1,363,128.86,0.17793,0.003448,0.530311,0.265477,2.619265
1,1,363,129.86,0.198397,0.003844,0.530707,0.281936,2.576249
1,1,367,129.93,0.39259,0.007578,0.53444,0.391365,2.330915
1,1,373,130.01,0.357406,0.006901,0.533764,0.373491,2.397082
1,1,374,130.85,0.357506,0.006905,0.533768,0.373574,2.396798
1,1,374,131.85,0.364709,0.007128,0.533991,0.378712,2.375775
1,1,374,132.85,0.36617,0.007093,0.533956,0.377117,2.372965
1,1,381,133.02,0.269963,0.00523,0.532092,0.32651,2.379678
1,1,386,133.95,0.492387,0.009517,0.536379,0.440339,2.20894
1,1,389,134.87,0.422359,0.008147,0.53501,0.404711,2.290732
1,1,390,135.8,0.506584,0.009914,0.536777,0.446983,2.190032
1,1,390,136.8,0.597225,0.011648,0.538511,0.48533,2.081185
1,1,391,137.63,0.669523,0.012846,0.539709,0.510503,1.999023
1,1,392,137.71,0.667502,0.012812,0.539675,0.509842,2.0012
1,1,393,138.52,0.54915,0.010566,0.537429,0.462081,2.211726
1,1,395,138.69,0.490619,0.009453,0.536316,0.437983,2.26071
1,1,395,139.69,0.482541,0.009393,0.536256,0.436692,2.236561
1,1,395,140.69,0.470008,0.009117,0.53598,0.430764,2.233295
1,1,400,141.18,0.164752,0.003194,0.530057,0.254026,2.557166
1,1,400,142.18,0.147239,0.002869,0.529732,0.240927,2.585867
1,1,400,143.18,0.130117,0.002528,0.529391,0.226425,2.616624
1,1,406,143.38,0.345201,0.006706,0.533569,0.372367,2.533831
1,1,410,143.53,0.189515,0.003672,0.530535,0.273566,2.65679
1,1,413,143.71,0.19964199999999999,0.00387,0.530733,0.281224,2.618464
1,1,413,144.71,0.132566,0.002659,0.529522,0.234149,2.637059
1,1,416,145.58,0.078872,0.001533,0.528396,0.178801,2.650904
1,1,416,146.58,0.029087,5.92e-4,0.527455,0.110513,2.629089
1,1,422,147.47,0.057069,0.001109,0.527972,0.149317,2.404311
1,1,423,148.45,0.058049,0.001129,0.527992,0.150665,2.401081
1,1,425,149.03,0.267922,0.005183,0.532046,0.322288,2.029906
1,1,425,150.03,0.267949,0.005188,0.532051,0.322439,2.029865
1,1,427,150.56,0.268491,0.005195,0.532058,0.322655,2.028724
1,1,427,151.56,0.31997,0.006213,0.533076,0.352172,1.950266
1,1,430,151.79,0.330256,0.006382,0.533244,0.357133,1.943504
1,1,430,152.79,0.28757,0.005582,0.532445,0.334098,2.054899
1,1,437,153.23,0.213694,0.004139,0.531002,0.289741,2.221798
1,1,437,154.23,0.22954,0.004472,0.531335,0.301191,2.193745
1,1,438,154.7,0.236658,0.004615,0.531478,0.305993,2.181368
1,1,438,155.7,0.215582,0.004303,0.531166,0.296006,2.202731
1,1,438,156.7,0.192867,0.003887,0.530749,0.282131,2.232066
1,1,438,157.7,0.169035,0.003381,0.530244,0.264194,2.268671
1,1,438,158.7,0.144836,0.002818,0.529681,0.242486,2.310918
1,1,439,158.79,0.142219,0.002759,0.529622,0.240049,2.315881
1,1,439,159.79,0.079831,0.001567,0.52843,0.180322,2.457885
1,1,441,160.14,0.061585,0.001203,0.528066,0.157958,2.504447
1,1,441,161.14,0.011312,2.27e-4,0.52709,0.068976,2.621213
1,1,442,161.38,0.005437,1.08e-4,0.52697,0.047607,2.646886
1,1,442,162.38,0.043078,8.83e-4,0.527746,0.13637,2.509361
1,1,443,163.37,0.124226,0.002431,0.529294,0.227088,2.298829
1,1,444,163.39,0.151408,0.002982,0.529844,0.252334,2.222506
1,1,445,163.53,0.310552,0.006045,0.532908,0.358629,1.924239
1,1,447,164.48,0.161948,0.003141,0.530003,0.261053,2.160281
1,1,448,165.39,0.087381,0.001699,0.528561,0.190362,2.36986
1,1,449,165.92,0.030998,6.03e-4,0.527466,0.11306,2.517882
1,1,449,166.92,0.099719,0.00194,0.528803,0.201356,2.379418
1,1,453,166.96,0.00374,7.3e-5,0.526936,0.039038,2.61953
1,1,453,167.96,0.003729,7.3e-5,0.526935,0.038985,2.619645
1,1,454,168.01,0.003815,7.4e-5,0.526937,0.039447,2.618746
1,1,454,169.01,0.017235,3.49e-4,0.527212,0.085187,2.539466
1,1,456,169.73,3.5e-4,7e-6,0.52687,0.012061,2.676649
1,1,458,169.76,1.1e-5,0,0.526863,0.002153,2.69701
1,1,460,170.67,6.94e-4,1.3e-5,0.526876,-0.017209,2.742364
1,1,460,171.67,6.94e-4,1.3e-5,0.526876,-0.017217,2.742363
1,1,462,172.35,9.7e-5,2e-6,0.526865,-0.006455,2.717586
1,1,462,173.35,9.7e-5,2e-6,0.526865,-0.006454,2.717578
1,1,463,173.81,1.26e-4,2e-6,0.526865,-0.007363,2.719733
1,1,464,174.26,0.005226,1.02e-4,0.526964,-0.047381,2.80112
1,1,467,174.33,0.010182,1.98e-4,0.527061,0.065707,2.544204
1,1,467,175.33,0.005876,1.14e-4,0.526977,0.049994,2.583412
1,1,468,175.85,0.004053,7.9e-5,0.526942,0.041513,2.60424
1,1,468,176.85,4.1e-5,1e-6,0.526864,0.004132,2.692779
1,1,470,177.09,3.6e-5,1e-6,0.526864,-0.003889,2.710442
1,1,470,178.09,0.004418,8.9e-5,0.526952,0.043808,2.609231
1,1,471,178.94,0.015749,3.15e-4,0.527178,0.082202,2.532718
1,1,476,179.63,0.024402,4.74e-4,0.527337,-0.098176,2.844463
1,1,476,180.63,0.047375,9.55e-4,0.527818,-0.139243,2.896302
1,1,476,181.63,0.075995,0.001519,0.528382,-0.17557,2.93913
1,1,478,182.34,0.097707,0.001897,0.52876,-0.196222,2.963504
1,1,478,183.34,0.097707,0.001897,0.52876,-0.196257,2.963503
1,1,481,183.59,4.61e-4,9e-6,0.526872,-0.013638,2.728165
1,1,481,184.59,4.61e-4,9e-6,0.526872,-0.013638,2.728165
1,1,483,184.67,4.23e-4,8e-6,0.526871,-0.013079,2.727088
1,1,483,185.67,0.004862,9.8e-5,0.526961,0.045069,2.617072
1,1,485,186.62,0.023049,4.48e-4,0.527311,0.096182,2.524591
1,1,485,187.62,0.019126,3.74e-4,0.527237,0.088089,2.554202
1,1,486,188.36,0.016599,3.23e-4,0.527186,0.082014,2.574862
1,1,486,189.36,0.050091,9.75e-4,0.527838,0.142596,2.439624
1,1,488,189.44,0.0529,0.001029,0.527891,0.146465,2.429909
1,1,488,190.44,0.039153,7.85e-4,0.527648,0.127672,2.461324
1,2,3,0.01,0.679381,0.013033,0.539896,-0.528621,2.592503
1,2,4,0.46,0.669318,0.012842,0.539705,-0.527842,2.595321
1,2,7,0.91,0.686408,0.013175,0.540037,-0.536649,2.546772
1,2,7,1.91,0.69288400000000006,0.013607,0.54047,-0.536893,2.519867
1,2,8,2.51,0.675204,0.012972,0.539834,-0.520214,2.55068
1,2,8,3.51,0.603223,0.01189,0.538753,-0.499049,2.505011
1,2,10,3.67,0.577863,0.011109,0.537972,-0.482738,2.49798
1,2,11,4.42,0.64320600000000006,0.012362,0.539225,-0.514038,2.288507
1,2,14,5.03,1.003211,0.019119,0.545981,-0.648499,2.738356
1,2,16,5.56,1.003199,0.019119,0.545981,-0.648498,2.73837
1,2,16,6.56,1.00321,0.019128,0.545991,-0.648642,2.738388
1,2,17,6.85,1.008121,0.019261,0.546124,-0.651036,2.725514
1,2,19,6.95,1.028437,0.019598,0.546461,-0.658207,2.73259
1,2,19,7.95,0.95093,0.018334,0.545197,-0.626689,2.841728
1,2,22,8.25,0.921654,0.017606,0.544469,-0.611813,2.890436
1,2,22,9.25,0.99247,0.020225,0.547088,-0.656027,2.842491
1,2,22,10.25,1.052804,0.022398,0.54926,-0.691405,2.775524
1,2,22,11.25,1.097509,0.023845,0.550708,-0.71509,2.703666
1,2,22,12.25,1.122376,0.024362,0.551225,-0.725089,2.640598
1,2,22,13.25,1.124555,0.023816,0.550679,-0.719878,2.592282
1,2,22,14.25,1.102956,0.022161,0.549024,-0.698241,2.552567
1,2,23,14.9,1.105096,0.021344,0.548207,-0.688294,2.538613
1,2,26,15.27,1.603669,0.030565,0.557428,-0.818225,2.846117
1,2,28,15.4,1.411875,0.026822,0.553685,-0.769218,2.48864
1,2,30,15.78,1.381904,0.026208,0.553071,-0.756261,3.04516
1,2,30,16.78,1.414417,0.027352,0.554214,-0.770925,3.090708
1,2,33,17.57,1.395065,0.026392,0.553254,-0.759019,3.169415
1,2,33,18.57,1.247988,0.024955,0.551817,-0.735097,3.144665
1,2,33,19.57,1.048118,0.021076,0.547939,-0.674855,3.078725
1,2,37,20.25,0.890242,0.01701,0.543872,-0.607012,2.936746
1,2,37,21.25,0.972862,0.018579,0.545442,-0.634552,2.889145
1,2,39,21.33,0.979119,0.018672,0.545534,-0.636372,2.887464
1,2,42,21.86,1.068349,0.020353,0.547216,-0.67109,2.797837
1,2,45,22.47,1.284414,0.024356,0.551218,-0.734996,2.647482
1,2,45,23.47,1.291173,0.024979,0.551841,-0.761112,2.62275
1,2,46,23.97,1.255798,0.023826,0.550689,-0.753055,2.659863
1,2,47,24.42,1.045918,0.019928,0.54679,-0.682064,2.845781
1,2,51,25.32,0.577182,0.011102,0.537965,-0.520399,3.077496
1,2,51,26.32,0.408431,0.008158,0.535021,-0.448858,3.093014
1,2,53,27.16,0.267911,0.005185,0.532048,-0.360476,3.076477
1,2,55,27.61,0.196429,0.003807,0.53067,-0.304746,3.075984
1,2,56,28.52,0.15644,0.003036,0.529899,-0.267719,3.077519
1,2,56,29.52,0.095412,0.001904,0.528767,-0.207083,2.953155
1,2,59,29.9,0.11915,0.002312,0.529175,-0.227522,2.877243
1,2,61,30.51,0.144111,0.002797,0.52966,-0.250711,2.867095
1,2,61,31.51,0.06805,0.001371,0.528233,-0.174287,2.792266
1,2,64,31.96,0.041241,8.01e-4,0.527664,-0.133024,2.759757
1,2,64,32.96,0.041241,8.02e-4,0.527665,-0.133048,2.759757
1,2,65,33.2,0.039388,7.68e-4,0.527631,-0.130186,2.759019
1,2,66,34.12,0.061098,0.001189,0.528052,0.160184,2.575743
1,2,67,35.04,0.167036,0.003243,0.530106,0.265035,2.504267
1,2,67,36.04,0.157784,0.003066,0.529929,0.25754,2.511953
1,2,68,36.21,0.156556,0.003044,0.529907,0.256565,2.512326
1,2,68,37.21,0.172146,0.003464,0.530327,0.270598,2.438438
1,2,69,37.83,0.170458,0.003309,0.530172,0.262892,2.421803
1,2,71,38.7,0.036191,7.04e-4,0.527567,0.122193,2.582351
1,2,72,39.25,0.065028,0.001263,0.528126,0.164071,2.514378
1,2,73,39.7,0.07828,0.00152,0.528383,0.179225,2.468907
1,2,77,40.15,0.031096,6.04e-4,0.527467,0.114466,2.584121
1,2,80,41.13,0.031096,6.04e-4,0.527467,0.114466,2.584121
1,2,80,42.13,0.031091,6.05e-4,0.527468,0.11451,2.584133
1,2,81,42.71,0.030779,5.98e-4,0.527461,0.113903,2.585271
1,2,82,43.14,0.015737,3.09e-4,0.527172,0.082034,2.638367
1,2,84,43.39,0.012506,2.43e-4,0.527106,-0.071601,2.720287
1,2,84,44.39,0.013091,2.55e-4,0.527118,-0.0733,2.719719
1,2,84,45.39,0.013694,2.67e-4,0.527129,-0.074901,2.719184
1,2,86,45.66,0.013539,2.63e-4,0.527126,-0.074469,2.719166
1,2,86,46.66,4.87e-4,1e-5,0.526872,0.014313,2.692451
1,2,88,46.96,0.00423,8.2e-5,0.526945,0.042065,2.668658
1,2,89,47.38,0.030147,5.88e-4,0.527451,0.114306,2.593171
1,2,90,48.34,0.021219,4.15e-4,0.527278,0.09615,2.616083
1,2,90,49.34,1.58e-4,3e-6,0.526866,-0.00831,2.710061
1,2,91,49.55,0.002026,3.9e-5,0.526902,-0.029449,2.731258
1,2,92,50.46,0.024472,4.78e-4,0.527341,-0.103676,2.833218
1,2,93,50.95,0.039601,7.7e-4,0.527633,-0.1292,2.872886
1,2,93,51.95,0.015489,3.08e-4,0.527171,-0.081381,2.810028
1,2,94,52.33,0.009019,1.76e-4,0.527038,-0.061475,2.783768
1,2,94,53.33,0.002226,4.6e-5,0.526908,-0.031413,2.73962
1,2,94,54.33,1e-5,0,0.526863,0.002114,2.69969
1,2,95,54.4,3.3e-5,1e-6,0.526864,0.003742,2.698001
1,2,95,55.4,0.002003,3.9e-5,0.526902,-0.029556,2.721163
1,2,96,55.56,0.002757,5.4e-5,0.526917,-0.034608,2.722368
1,2,97,55.72,0.003207,6.2e-5,0.526925,-0.037246,2.723061
1,2,97,56.72,0.003207,6.2e-5,0.526925,-0.037255,2.723061
1,2,98,57.06,0.003207,6.2e-5,0.526925,-0.037246,2.723061
1,2,98,58.06,0.003207,6.2e-5,0.526925,-0.03727,2.72306
1,2,102,58.91,0.003274,6.4e-5,0.526927,-0.03765,2.723319
1,2,102,59.91,0.01343,2.71e-4,0.527134,-0.077998,2.75246
1,2,104,60.6,0.023341,4.54e-4,0.527317,-0.101342,2.773998
1,2,104,61.6,0.025473,5.02e-4,0.527365,-0.1081,2.783417
1,2,105,62.28,0.026721,5.2e-4,0.527382,-0.111195,2.790251
1,2,105,63.28,0.053124,0.001042,0.527904,-0.160778,2.792444
1,2,107,63.84,0.070968,0.001379,0.528242,-0.187356,2.785968
1,2,108,64.41,0.038598,7.52e-4,0.527615,-0.137677,2.810581
1,2,110,64.92,0.001151,2.2e-5,0.526885,-0.023765,2.715049
1,2,113,65.83,0.010372,2.02e-4,0.527065,0.069679,2.63934
1,2,117,66.28,3.38e-4,7e-6,0.526869,0.012493,2.693829
1,2,117,67.28,3.38e-4,7e-6,0.526869,0.012509,2.693829
1,2,117,68.28,3.38e-4,7e-6,0.526869,0.012506,2.693829
1,2,121,68.97,0.044275,8.61e-4,0.527724,-0.142081,2.734484
1,2,121,69.97,0.02613,5.09e-4,0.527372,-0.106165,2.733184
1,2,123,70.02,0.024762,4.82e-4,0.527345,-0.103186,2.733275
1,2,124,70.47,0.002786,5.4e-5,0.526917,-0.034772,2.722001
1,2,126,70.92,0.00359,7e-5,0.526933,0.039306,2.66496
1,2,128,71.37,0.020241,3.94e-4,0.527257,0.094666,2.620325
1,2,129,72.22,0.062696,0.001218,0.528081,0.166766,2.52831
1,2,130,72.67,0.062234,0.00121,0.528073,0.166207,2.529019
1,2,130,73.67,0.023136,4.77e-4,0.52734,0.103925,2.602088
1,2,130,74.67,0.002378,4.9e-5,0.526912,0.03332,2.672832
1,2,130,75.67,0.002819,5.6e-5,0.526919,-0.035348,2.729434
1,2,132,75.97,0.00612,1.19e-4,0.526982,-0.051549,2.740474
1,2,137,76.42,0.004395,8.6e-5,0.526949,0.043749,2.673386
1,2,147,76.87,0.067478,0.001312,0.528174,0.17121,2.736874
1,2,159,77.33,0.029607,5.75e-4,0.527438,0.113655,2.744077
1,2,164,77.78,0.032398,6.3e-4,0.527493,0.119604,2.732116
1,2,166,78.21,0.033652,6.55e-4,0.527518,0.121971,2.731193
1,2,173,78.53,0.042929,8.35e-4,0.527697,0.138822,2.722906
1,2,178,79.14,0.088869,0.001727,0.52859,0.199738,2.66958
1,2,178,80.14,0.032875,6.65e-4,0.527528,0.124177,2.676394
1,2,181,80.7,0.012488,2.43e-4,0.527106,0.075186,2.682714
1,2,209,81.2,0.012488,2.43e-4,0.527106,0.075187,2.682714
