Trait,Chromosome,Marker,Position(cM),LOD(H0:H1),R2(H0:H1),TR2(H0:H1),Additive(H1),S1
1,1,91,95.8,2.52e-4,3e-6,0.513558,-0.013723,7.173296
1,1,92,96.81,0.014209,1.93e-4,0.513747,0.101947,7.649286
1,1,93,97.06,0.026313,3.62e-4,0.513916,0.140895,7.840598
1,1,95,97.81,3.4e-4,5e-6,0.513559,0.015963,7.289492
1,1,96,98.21,0.003652,4.9e-5,0.513604,-0.051768,6.996216
1,1,96,99.21,0.017198,2.39e-4,0.513793,-0.112459,6.736222
1,1,96,100.21,0.039815,5.48e-4,0.514102,-0.168995,6.493745
1,1,97,100.69,0.052984,7.19e-4,0.514273,-0.193038,6.388134
1,1,98,101.62,0.051031,6.92e-4,0.514247,-0.188807,6.460456
1,1,98,102.62,0.073859,0.001009,0.514563,-0.227556,6.364965
1,1,100,102.82,0.087969,0.001218,0.514773,-0.250769,6.258333
1,1,101,102.88,0.134047,0.001816,0.515371,-0.311245,5.885741
1,1,101,103.88,0.116148,0.001601,0.515155,-0.292832,5.955031
1,1,101,104.88,0.097444,0.001337,0.514891,-0.26842,6.035708
1,1,102,105.41,0.088302,0.001197,0.514752,-0.254571,6.080353
1,1,103,106.33,0.149714,0.00203,0.515585,-0.337084,5.831513
1,1,104,107.26,0.281692,0.003811,0.517366,-0.465935,5.604997
1,1,105,108.19,0.353326,0.004775,0.518329,-0.528457,5.337154
1,1,105,109.19,0.398835,0.005515,0.519069,-0.575629,5.604639
1,1,106,109.51,0.407297,0.005629,0.519183,-0.584438,5.698369
1,1,106,110.51,0.11644,0.001854,0.515408,-0.332478,6.730264
1,1,106,111.51,6e-5,1e-6,0.513555,-0.00694,7.223357
1,1,107,111.64,9.51e-4,1.3e-5,0.513567,0.027404,7.211047
1,1,107,112.64,0.05398,7.61e-4,0.514315,0.210448,7.145003
1,1,108,112.89,0.075291,0.001023,0.514577,0.244087,7.139341
1,1,108,113.89,0.027508,4.24e-4,0.513978,0.156401,7.314093
1,1,108,114.89,0.001647,2.5e-5,0.513579,0.038042,7.286526
1,1,109,115.78,0.004702,6.4e-5,0.513618,-0.060523,7.061838
1,1,109,116.78,0.244548,0.003603,0.517158,-0.45939,6.415223
1,1,110,117.34,0.489996,0.006611,0.520165,-0.625822,6.350921
1,1,110,118.34,0.324162,0.00455,0.518104,-0.528225,6.255214
1,1,111,118.9,0.227916,0.00309,0.516644,-0.439979,6.240856
1,1,111,119.9,0.016915,2.55e-4,0.51381,-0.127692,7.065836
1,1,112,120.46,0.00557,7.6e-5,0.51363,0.069985,7.250577
1,1,112,121.46,0.028253,3.94e-4,0.513948,0.160986,7.294265
1,1,113,122.03,0.046711,6.34e-4,0.514188,0.20526,7.318234
1,1,113,123.03,0.002009,2.7e-5,0.513582,0.042505,7.225807
1,1,114,123.13,6.9e-4,9e-6,0.513563,0.024859,7.223112
1,1,114,124.13,0.08506,0.001169,0.514723,-0.279646,7.376136
1,1,115,124.2,0.094875,0.001287,0.514841,-0.293608,7.392839
1,1,116,125.12,0.055455,7.54e-4,0.514308,-0.227185,7.401121
1,1,117,126.05,0.002942,4e-5,0.513594,0.050848,7.170475
1,1,117,127.05,0.026944,3.68e-4,0.513922,0.152798,7.136653
1,1,118,127.29,0.037125,5.05e-4,0.51406,0.178824,7.13428
1,1,119,128.22,0.300264,0.004063,0.517617,0.518812,6.057758
1,1,120,129.14,0.456622,0.006198,0.519752,0.648217,5.984292
1,1,121,130.07,0.725032,0.009765,0.523319,0.805039,3.948522
1,1,121,131.07,0.935785,0.013248,0.526802,0.946438,3.652731
1,1,122,131.9,1.014919,0.013722,0.527276,0.975277,3.566114
1,1,123,131.98,0.818557,0.010991,0.524545,0.867009,3.752405
1,1,124,132.96,1.003507,0.013452,0.527007,0.976942,3.248085
1,1,124,133.96,1.119896,0.015669,0.529223,1.086582,3.270217
1,1,125,133.99,1.120206,0.015672,0.529226,1.087513,3.274002
1,1,125,134.99,0.95455,0.013495,0.527049,1.033394,3.67599
1,1,126,135.45,3.851491,0.055746,0.509403,1.660732,2.678727
1,1,126,136.45,3.679869,0.057869,0.511526,1.691556,3.027877
1,1,126,137.45,2.984269,0.046306,0.499963,1.517086,3.871162
1,1,127,137.65,2.763826,0.040605,0.494262,1.421795,4.47683
1,1,128,137.8,2.758441,0.041077,0.494734,1.424196,4.065649
1,1,129,137.98,2.910848,0.042646,0.496302,1.446589,3.402812
1,1,129,138.98,2.909986,0.043568,0.497225,1.452039,3.763097
1,1,130,139.85,2.799878,0.041088,0.494745,1.404249,4.187874
1,1,130,140.85,3.02652,0.045344,0.499001,1.473239,4.492046
1,1,131,141.74,3.09645,0.045268,0.498925,1.47197,4.332336
1,1,131,142.74,3.362388,0.049599,0.503256,1.539377,5.284275
1,1,132,143.3,3.450268,0.050166,0.503823,1.55138,5.563514
1,1,132,144.3,3.710668,0.054455,0.508112,1.622664,6.437592
1,1,132,145.3,3.948156,0.057555,0.511212,1.676387,7.045412
1,1,134,146.06,4.112113,0.059242,0.512899,1.70793,7.244052
1,1,134,147.06,4.003637,0.058213,0.51187,1.702491,7.800494
1,1,135,147.23,3.984549,0.057989,0.511646,1.700847,7.780983
1,1,136,147.5,3.965638,0.057864,0.511521,1.699484,7.842302
1,1,136,148.5,3.525763,0.055826,0.509483,1.668386,8.080723
1,1,136,149.5,2.927755,0.049671,0.503328,1.571201,8.125396
1,1,136,150.5,2.153153,0.03629,0.489947,1.337908,8.199556
1,1,137,151.15,1.616877,0.024277,0.477934,1.090178,8.533867
1,1,137,152.15,1.211535,0.019352,0.473009,0.981489,8.128667
1,1,138,153.06,0.78959,0.012076,0.465733,0.785704,7.326535
1,1,138,154.06,0.622576,0.009541,0.463198,0.706003,7.065606
1,1,139,154.41,0.565221,0.008551,0.462208,0.671942,6.94035
1,1,139,155.41,0.673671,0.010202,0.463859,0.747033,7.070258
1,1,140,155.65,0.70073,0.010596,0.464253,0.764598,7.073872
1,1,141,156.58,0.616584,0.008304,0.521858,-0.955956,6.887844
1,1,141,157.58,0.676776,0.009169,0.522723,-0.957105,6.799679
1,1,142,157.66,0.676243,0.00914,0.522694,-0.952826,6.783779
1,1,142,158.66,0.380279,0.005196,0.51875,-0.708643,7.042542
1,1,143,158.75,0.360164,0.004872,0.518426,-0.685334,7.067116
1,1,143,159.75,0.698509,0.009708,0.523262,-0.931697,7.440186
1,1,144,160.19,0.838704,0.011318,0.524872,-0.997239,7.481967
1,1,144,161.19,0.462683,0.00629,0.519844,-0.719835,7.768682
1,1,145,161.23,0.450609,0.006081,0.519635,-0.707015,7.786188
1,1,145,162.23,0.44877,0.006125,0.51968,-0.702188,7.867051
1,1,146,162.28,0.44681,0.006104,0.519659,-0.700753,7.862267
1,1,146,163.28,0.266676,0.004087,0.517641,-0.564489,7.498199
1,1,148,164.03,0.138282,0.002068,0.515622,-0.3983,7.209614
1,1,148,165.03,0.085989,0.001404,0.514958,-0.332599,7.123904
1,1,148,166.03,0.036427,5.49e-4,0.514103,-0.212393,7.094175
1,1,149,166.54,1.128368,0.017077,0.467861,0.986124,8.108923
1,1,150,166.62,1.211416,0.018262,0.469046,1.017253,8.395599
1,1,150,167.62,1.35421,0.020585,0.471369,1.063578,8.818939
1,1,151,168.53,1.521325,0.023247,0.474032,1.120683,9.128437
1,1,153,168.6,1.702008,0.025575,0.476359,1.177961,9.417935
1,1,153,169.6,1.997906,0.030742,0.481526,1.268981,9.702766
1,1,154,170.12,2.067225,0.030864,0.481648,1.261255,9.53991
1,1,154,171.12,2.523814,0.037993,0.488777,1.383061,10.506031
1,1,155,171.36,2.576728,0.038127,0.488911,1.3826,10.463034
1,1,156,172.29,2.994148,0.044078,0.494862,1.483459,11.479008
1,1,157,173.21,2.728841,0.040357,0.491141,1.418056,11.370907
1,1,159,173.9,3.055312,0.046191,0.496976,1.519834,11.318607
1,1,159,174.9,3.769826,0.059594,0.510378,1.727485,8.832127
1,1,159,175.9,4.170853,0.06291,0.513694,1.772571,8.005798
1,1,160,176.61,4.343718,0.063069,0.513853,1.773688,7.280826
1,1,160,177.61,3.536677,0.054618,0.505402,1.644523,7.090851
1,1,161,177.86,3.260515,0.050244,0.501028,1.574253,6.958207
1,1,162,178.78,2.451249,0.03638,0.487164,1.3312330000000001,11.045678
1,1,163,178.94,2.14747,0.032001,0.482785,1.246016,10.263578
1,1,163,179.94,2.094277,0.031334,0.482118,1.234754,10.677165
1,1,164,180.25,2.07286,0.030877,0.481661,1.22659,10.653777
1,1,165,180.89,2.245013,0.033377,0.484162,1.28033,11.677354
1,1,165,181.89,2.166148,0.033137,0.483921,1.272039,11.197526
1,1,166,182.63,2.012619,0.03004,0.480824,1.207758,10.545871
1,1,166,183.63,2.023158,0.030238,0.481022,1.208074,10.500609
1,1,167,183.71,2.025885,0.030295,0.481079,1.209131,10.38475
1,1,167,184.71,2.493216,0.03983,0.490614,1.38847,7.992398
1,2,1,0.01,1.320033,0.017618,0.531172,-0.926471,7.781726
1,2,1,1.01,1.225679,0.017692,0.531246,-0.933965,7.828854
1,2,1,2.01,0.984087,0.013497,0.527051,-0.82023,7.273848
1,2,2,2.13,0.95119,0.012832,0.526386,-0.800298,7.193349
1,2,3,3.04,0.960698,0.012915,0.526469,-0.80401,7.183607
1,2,4,3.18,0.990163,0.013265,0.526819,-0.813006,7.165177
1,2,4,4.18,1.072637,0.014793,0.528347,-0.859172,7.402951
1,2,4,5.18,1.132949,0.01559,0.529144,-0.883489,7.55417
1,2,4,6.18,1.171959,0.015752,0.529306,-0.890319,7.595837
1,2,5,6.22,1.17223,0.01574,0.529294,-0.890071,7.594652
1,2,6,6.44,1.159587,0.015567,0.529121,-0.885166,7.583992
1,2,6,7.44,1.143799,0.01531,0.528864,-0.876645,7.91575
1,2,7,7.62,1.139869,0.015241,0.528795,-0.874776,7.952128
1,2,8,8.32,1.048833,0.014033,0.527587,-0.846953,7.984463
1,2,9,9.1,1.108941,0.014838,0.528392,-0.872905,8.521867
1,2,9,10.1,0.935297,0.013184,0.526738,-0.827217,8.72825
1,2,10,10.43,0.847155,0.011666,0.52522,-0.78053,8.861912
1,2,10,11.43,0.787279,0.011074,0.524628,-0.760454,8.773096
1,2,10,12.43,0.719861,0.010216,0.52377,-0.730619,8.664492
1,2,10,13.43,0.64452,0.009032,0.522586,-0.687499,8.533952
1,2,12,14.33,0.653926,0.008797,0.522351,-0.681046,8.718686
1,2,13,14.64,0.653922,0.008797,0.522351,-0.681044,8.718657
1,2,14,14.77,0.650103,0.008756,0.52231,-0.679368,8.71311
1,2,14,15.77,0.295094,0.004254,0.517808,-0.467022,7.958295
1,2,15,16.62,0.089944,0.00122,0.514774,-0.248195,7.427328
1,2,15,17.62,0.061647,8.78e-4,0.514432,-0.210115,7.379204
1,2,15,18.62,0.037518,5.56e-4,0.51411,-0.166872,7.331226
1,2,15,19.62,0.018682,2.85e-4,0.513839,-0.119265,7.287643
1,2,15,20.62,0.006083,9.4e-5,0.513648,-0.068519,7.25211
1,2,15,21.62,3.43e-4,5e-6,0.513559,-0.016249,7.22714
1,2,15,22.62,0.001663,2.6e-5,0.51358,0.035667,7.213731
1,2,15,23.62,0.009792,1.48e-4,0.513702,0.085603,7.211219
1,2,15,24.62,0.024073,3.52e-4,0.513906,0.132011,7.217599
1,2,15,25.62,0.043564,6.1e-4,0.514164,0.173827,7.229881
1,2,16,26.21,0.056899,7.74e-4,0.514328,0.195848,7.23731
1,2,17,26.59,0.057333,7.8e-4,0.514335,0.19512,7.191275
1,2,17,27.59,0.001981,2.9e-5,0.513583,0.037437,7.298934
1,2,18,28.03,0.001109,1.5e-5,0.513569,-0.027063,7.138169
1,2,19,28.15,0.003712,5.1e-5,0.513605,0.049453,7.391435
1,2,20,28.21,0.010281,1.4e-4,0.513694,0.082001,7.528371
1,2,20,29.21,0.005107,7e-5,0.513624,0.057869,7.444284
1,2,21,30.08,0.002215,3e-5,0.513584,0.038006,7.371473
1,2,21,31.08,0.038727,5.39e-4,0.514093,0.160623,7.959217
1,2,22,31.33,0.05209,7.07e-4,0.514261,0.183866,8.08942
1,2,22,32.33,0.008496,1.17e-4,0.513671,0.074516,7.553642
1,2,23,32.57,0.003555,4.8e-5,0.513602,0.047884,7.431979
1,2,24,33.49,6.8e-5,1e-6,0.513555,-0.006636,7.192302
1,2,24,34.49,6.1e-4,9e-6,0.513563,-0.0207,7.153053
1,2,25,34.93,9.87e-4,1.3e-5,0.513568,-0.025384,7.150174
1,2,25,35.93,0.015267,2.08e-4,0.513762,-0.099626,6.91004
1,2,26,35.98,0.016398,2.23e-4,0.513777,-0.103243,6.897401
1,2,27,36.82,0.037893,5.14e-4,0.514069,-0.15701,6.72528
1,2,27,37.82,0.015554,2.14e-4,0.513768,-0.101813,6.911691
1,2,28,38.07,0.011868,1.61e-4,0.513715,-0.088449,6.95528
1,2,28,39.07,0.106535,0.001453,0.515007,-0.268595,6.519145
1,2,29,39.09,0.106952,0.001461,0.515015,-0.269338,6.522587
1,2,29,40.09,0.022416,3.29e-4,0.513883,-0.127045,7.176248
1,2,30,40.5,0.005297,7.2e-5,0.513626,-0.059368,7.262319
1,2,30,41.5,0.015371,2.14e-4,0.513768,-0.102084,7.342034
1,2,31,42.08,0.022921,3.12e-4,0.513867,-0.1234,7.400437
1,2,32,42.51,0.024018,3.28e-4,0.513882,-0.1264,7.408022
1,2,32,43.51,0.026091,3.71e-4,0.513925,-0.134025,7.403197
1,2,32,44.51,0.026876,3.76e-4,0.51393,-0.134614,7.384098
1,2,33,45.03,0.027497,3.74e-4,0.513928,-0.134218,7.368384
1,2,33,46.03,0.149723,0.0022,0.515754,-0.323527,6.765518
1,2,34,46.59,0.232545,0.00315,0.516704,-0.38641,6.352495
1,2,36,46.72,0.209846,0.002844,0.516398,-0.365339,6.561368
1,2,36,47.72,0.169432,0.002447,0.516002,-0.338713,6.676371
1,2,36,48.72,0.126645,0.001883,0.515438,-0.297097,6.800486
1,2,36,49.72,0.085822,0.001259,0.514813,-0.24303,6.927382
1,2,36,50.72,0.051369,7.1e-4,0.514265,-0.182777,7.041092
1,2,37,50.96,0.045064,6.12e-4,0.514166,-0.169747,7.063154
1,2,38,51.89,0.078694,0.001067,0.514622,-0.225476,7.026554
1,2,38,52.89,0.087431,0.001204,0.514759,-0.239344,7.127232
1,2,39,53.77,0.092545,0.001256,0.514811,-0.244585,7.20947
1,2,39,54.77,0.031356,4.28e-4,0.513982,-0.142266,7.129126
1,2,40,54.93,0.024061,3.27e-4,0.513881,-0.124238,7.126209
1,2,41,55.09,0.013562,1.84e-4,0.513738,-0.093454,7.124785
1,2,41,56.09,0.00116,1.7e-5,0.513571,0.028206,7.17688
1,2,42,56.43,0.007067,9.6e-5,0.51365,0.067759,7.058221
1,2,42,57.43,0.052705,7.3e-4,0.514284,0.187063,6.812521
1,2,43,57.68,0.068898,9.35e-4,0.514489,0.211853,6.765475
1,2,43,58.68,0.107902,0.001489,0.515043,0.266399,6.74344
1,2,44,59.58,0.149088,0.002028,0.515583,0.310737,6.741647
1,2,45,59.97,0.23258,0.003161,0.516715,0.386934,6.713281
1,2,46,60.88,0.35431,0.004813,0.518367,0.478578,6.855049
1,2,46,61.88,0.366047,0.005222,0.518776,0.498297,7.183669
1,2,46,62.88,0.360706,0.005156,0.51871,0.494977,7.523199
1,2,47,63.78,0.341158,0.004643,0.518197,0.469597,7.824307
1,2,47,64.78,0.439318,0.006145,0.519699,0.539286,8.215064
1,2,48,65.65,0.509144,0.006909,0.520463,0.571413,8.448072
1,2,48,66.65,0.517371,0.007331,0.520886,0.58969,8.319832
1,2,48,67.65,0.500061,0.00702,0.520575,0.578353,8.087077
1,2,49,68.34,0.475542,0.006443,0.519997,0.554993,7.880892
1,2,49,69.34,0.460643,0.006234,0.519788,0.54322,8.078464
1,2,51,69.36,0.459214,0.006198,0.519752,0.541636,8.080202
1,2,51,70.36,0.450265,0.006237,0.519791,0.544169,8.293557
1,2,52,71.25,0.421661,0.005694,0.519248,0.521571,8.302065
1,2,52,72.25,0.326832,0.004637,0.518191,0.470087,8.110792
1,2,52,73.25,0.235884,0.003446,0.517,0.404776,7.890144
1,2,52,74.25,0.154685,0.002267,0.515822,0.328048,7.671571
1,2,52,75.25,0.08865,0.001267,0.514821,0.245036,7.485653
1,2,57,76.24,0.015238,2.07e-4,0.513761,-0.098987,7.337898
1,2,58,76.42,0.015795,2.15e-4,0.513769,-0.100833,7.340786
1,2,60,77.15,0.165905,0.002247,0.515802,-0.329221,7.855783
1,2,61,77.58,0.171702,0.002327,0.515881,-0.336678,7.851367
1,2,62,78.51,0.240816,0.003262,0.516816,-0.39707,8.030776
1,2,62,79.51,0.325692,0.004592,0.518146,-0.474895,8.262053
1,2,63,80.07,0.356332,0.004816,0.51837,-0.488969,8.245301
1,2,63,81.07,0.257396,0.003583,0.517137,-0.422515,8.109985
1,2,64,81.56,0.210108,0.002904,0.516458,-0.381105,8.012899
1,2,65,82.27,0.186887,0.002571,0.516125,-0.358399,8.064248
1,2,66,82.87,0.268059,0.003636,0.51719,-0.425544,8.570536
1,2,67,83.45,0.273491,0.003705,0.517259,-0.428538,8.319895
1,2,68,83.94,0.261857,0.003548,0.517102,-0.41956,8.196111
1,2,68,84.94,0.308493,0.004272,0.517826,-0.46169,8.33324
1,2,69,85.21,0.321167,0.004453,0.518008,-0.471766,8.364805
1,2,69,86.21,0.410363,0.005783,0.519337,-0.540044,8.691335
1,2,70,87.14,0.473209,0.00639,0.519944,-0.57068,8.821867
1,2,71,88.07,0.160937,0.002182,0.515736,-0.333501,7.763031
1,2,71,89.07,0.073943,0.001023,0.514577,-0.229522,7.535096
1,2,73,89.31,0.056243,7.63e-4,0.514318,-0.198637,7.474697
1,2,74,90.28,0.002076,2.8e-5,0.513582,-0.038037,7.256298
1,2,75,90.51,0.001707,2.3e-5,0.513577,-0.034226,7.256666
1,2,75,91.51,1e-4,1e-6,0.513556,-0.008428,7.231273
1,2,76,91.59,5.1e-5,1e-6,0.513555,-0.005995,7.228598
1,2,76,92.59,0.002959,4.1e-5,0.513595,0.045345,7.148667
1,2,77,92.78,0.004408,6e-5,0.513614,0.055141,7.128486
1,2,77,93.78,0.034677,4.84e-4,0.514038,0.157711,6.991776
1,2,78,94.13,0.053066,7.22e-4,0.514276,0.193195,6.953937
1,2,79,94.38,0.138063,0.001873,0.515427,0.311003,6.9372
