Coded_Trait	Effect	Env	Grp	Estimate
7	Env*Grp	2017_Loc1	2	0.6044
7	Env*Grp	2017_Loc1	3	-0.00523
7	Env*Grp	2017_Loc1	999	0
7	Env*Grp	2017_Loc2	1	-1.0081
7	Env*Grp	2017_Loc2	2	1.1535
7	Env*Grp	2017_Loc2	3	0.2354
7	Env*Grp	2017_Loc2	999	0
7	Env*Grp	2018_Loc1	1	0
7	Env*Grp	2018_Loc1	2	0
7	Env*Grp	2018_Loc1	3	0
7	Env*Grp	2018_Loc1	999	0
8	Intercept	_	_	68.7015
8	Env	2017_Loc1	_	-1.7205
8	Env	2017_Loc2	_	1.5797
8	Env	2018_Loc1	_	0
8	Grp	_	1	3.2632
8	Grp	_	2	-8.7692
8	Grp	_	3	6.8322
8	Grp	_	999	0
8	Env*Grp	2017_Loc1	1	0.6722
8	Env*Grp	2017_Loc1	2	-0.4034
8	Env*Grp	2017_Loc1	3	1.3055
8	Env*Grp	2017_Loc1	999	0
8	Env*Grp	2017_Loc2	1	1.5275
8	Env*Grp	2017_Loc2	2	-5.6685
8	Env*Grp	2017_Loc2	3	1.8811
8	Env*Grp	2017_Loc2	999	0
8	Env*Grp	2018_Loc1	1	0
8	Env*Grp	2018_Loc1	2	0
8	Env*Grp	2018_Loc1	3	0
8	Env*Grp	2018_Loc1	999	0
